IMDB ID,BoxOffice,Country,Director,Genre,Plot,Rated,Released,Runtime,Title,Year,imdbRating,imdbVotes,budget,popularity,vote_average,vote_count
tt1403865,"$171,243,005",United States,"Ethan Coen, Joel Coen","['Drama', 'Western']",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,PG-13,22 Dec 2010,110 min,True Grit,2010,7.6,"362,486",38000000,4.4106,7.3,5340
tt1375670,"$162,001,186",United States,Dennis Dugan,['Comedy'],"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",PG-13,25 Jun 2010,102 min,Grown Ups,2010,6.0,"288,753",80000000,14.102,6.389,6240
tt0970866,"$148,438,600",United States,Paul Weitz,"['Comedy', 'Romance']","Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?",PG-13,22 Dec 2010,98 min,Little Fockers,2010,5.5,"122,543",100000000,2.6917,5.644,3264
tt1130884,"$128,012,934",United States,Martin Scorsese,"['Drama', 'Mystery', 'Thriller']",Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,R,19 Feb 2010,138 min,Shutter Island,2010,8.2,"1,534,963",80000000,18.3111,8.201,24369
tt1386588,"$119,219,978",United States,Adam McKay,"['Action', 'Comedy', 'Crime']","Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.",PG-13,06 Aug 2010,107 min,The Other Guys,2010,6.7,"296,740",100000000,6.688,6.3,4251
tt0944835,"$118,311,368",United States,Phillip Noyce,"['Action', 'Thriller']",A CIA agent goes on the run after a defector accuses her of being a Russian spy.,PG-13,23 Jul 2010,100 min,Salt,2010,6.5,"335,986",110000000,6.57,6.411,5565
tt1116184,"$117,229,692",United States,Jeff Tremaine,"['Documentary', 'Action', 'Comedy']","Johnny Knoxville and company return for the third installment of their TV show spin-off, where dangerous stunts and explicit public displays rule.",R,15 Oct 2010,94 min,Jackass 3D,2010,7.0,"69,403",20000000,1.4067,6.605,1370
tt0817230,"$110,528,528",United States,Garry Marshall,"['Comedy', 'Romance']",Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,PG-13,12 Feb 2010,125 min,Valentine's Day,2010,5.7,"126,711",52000000,2.9963,5.9,3062
tt0947798,"$106,954,678",United States,Darren Aronofsky,"['Drama', 'Thriller']","Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",R,17 Dec 2010,108 min,Black Swan,2010,8.0,"847,805",13000000,10.8905,7.7,14715
tt1231583,"$100,539,043",United States,Todd Phillips,"['Comedy', 'Drama']",High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,R,05 Nov 2010,95 min,Due Date,2010,6.5,"361,820",65000000,4.3419,6.38,5474
